# Generated by scripts/snapshot-opening-popularity.mjs
# source=https://chess-analysis.org/api/explore/lichess
# snapshot=2026-08-06T18:32:36.169Z
# variant=standard; speeds=blitz,rapid,classical; ratings=1200,1400,1600,1800,2000,2200,2500
# measuredParentDepth=4; deeper lines use documented 0.82-per-ply decay
uci	globalGames	globalShare
c2c4 e7e6 g1f3 g8f6 g2g3 d7d5 f1g2 d5c4	347053	0.20781505
c2c4 f7f5	2726153	0.01911909
c2c4 f7f5 b1c3 g8f6 e2e4	14404	0.01271854
c2c4 f7f5 b1c3 g8f6 e2e4 f5e4 g2g4	9685	0.00855173
c2c4 f7f5 e2e4	26656	0.00978728
c2c4 f7f5 g1f3 d7d6 e2e4	219	0.00771263
c2c4 f7f5 g2g4	9765	0.00358541
c2c4 g7g5	0	0.00000000
c2c4 g7g5 d2d4 e7e5	0	0.00000000
c2c4 g7g5 d2d4 f8g7	67053	0.46046560
c2c4 g7g6	7894643	0.05536682
c2c4 g7g6 b1c3 f8g7 g2g3 g8f6 f1g2 e8g8 e2e4 d7d6 g1e2 e7e5 e1g1 c7c6 d2d3 a7a6	143966	0.03605315
c2c4 g7g6 e2e4 e7e5	5253	0.01167497
c2c4 g8f6	25305870	0.17747548
c2c4 g8f6 b1c3	15014905	0.59380396
c2c4 g8f6 b1c3 c7c5 g2g3	854994	0.41186230
c2c4 g8f6 b1c3 c7c5 g2g3 d7d5 c4d5 f6d5 f1g2 d5c7	316980	0.15269360
c2c4 g8f6 b1c3 d7d5	1097072	0.07309751
c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3	554086	0.47669340
c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3 c7c5 e2e3 e7e6	305505	0.26283324
c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3 g7g6	454350	0.39088814
c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3 g7g6 g2g3 f8g7 f1g2 e7e5	205422	0.17672944
c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5b6	305505	0.26283324
